run,year,n,marrs,births,randDs,cullDs,GenetDes,GeneaDes,YDes,MtDes,nCents,nAlleles,nBlocks,TotFitness,nMuts,PercSeedGenoRet,AvSeedGenoCov,AvHet,HomMin,HomMaj,numSegSites,allelesLost,allelesFixed,avMinorFreq,freqVariance,TajimaPi,WattersonsTheta,Fis,NeTemporal,NeHeterozygosity
1,0,91,37,0,0,0,91,91,0,0,0,279552,0,0,0,100.9,0,%!f(int=279552),%!f(int=00),%!f(int=00),3046,0,0,0.5,0,0.5,0.1731,-1,-1,-1
1,100,49,91,162,0,0,49,49,27,49,0,151970,7370,0,0,100,0,%!f(int=72896),%!f(int=39537),%!f(int=38095),3046,0,0,0.424,0.008868,0.4821,0.1939,-0.0131,-1,-1
1,200,63,66,151,0,0,63,63,26,63,0,193295,12786,0,0,100,0,%!f(int=90235),%!f(int=51530),%!f(int=51771),3046,0,0,0.3829,0.020737,0.4585,0.1849,-0.0256,-1,-1
1,300,79,116,256,0,0,79,79,37,79,0,243776,19791,0,0,100,0,%!f(int=109970),%!f(int=66903),%!f(int=65815),3046,0,0,0.3641,0.027404,0.4451,0.1774,-0.0267,-1,-1
1,400,98,142,337,0,18,98,98,44,98,0,298160,28994,0,0,99.9,0,%!f(int=131052),%!f(int=83554),%!f(int=86450),3041,3,2,0.3429,0.036418,0.4272,0.1706,-0.0278,-1,-1
1,500,100,160,377,0,84,100,100,47,100,0,303874,33865,0,0,99.7,0,%!f(int=127570),%!f(int=88152),%!f(int=91478),3034,8,4,0.3333,0.041772,0.4165,0.1696,-0.0057,-1,181.56
1,600,100,153,392,0,92,100,100,49,100,0,303765,37516,0,0,99.5,0,%!f(int=125325),%!f(int=89220),%!f(int=92655),3027,14,5,0.3239,0.04697,0.4061,0.1692,-0.0133,-1,234.74
1,700,100,163,367,0,71,100,100,55,100,0,301489,40781,0,0,99.2,0,%!f(int=121983),%!f(int=89753),%!f(int=95464),3000,23,23,0.3113,0.054255,0.3914,0.1677,-0.0231,-1,289.59
1,800,98,151,364,0,42,98,98,46,98,0,295536,42903,0,0,98.9,0,%!f(int=116734),%!f(int=89401),%!f(int=94921),2983,32,31,0.3025,0.059058,0.3818,0.1673,-0.0242,-1,345.51
1,900,100,136,346,0,52,100,100,45,100,0,302902,46723,0,0,98.4,0,%!f(int=116438),%!f(int=93232),%!f(int=97530),2963,50,33,0.2982,0.062462,0.3751,0.1656,-0.0192,-1,401.63
1,1000,66,113,221,0,12,66,66,33,66,0,199933,32515,0,0,97.5,0,%!f(int=74869),%!f(int=62532),%!f(int=65351),2922,75,49,0.2918,0.06847,0.363,0.1758,-0.0258,-1,455.4
1,1100,86,118,254,0,0,86,86,39,86,0,259467,44760,0,0,96.8,0,%!f(int=92369),%!f(int=83549),%!f(int=88274),2867,97,82,0.2829,0.075414,0.3491,0.1645,-0.01,-1,1377.18
1,1200,100,144,308,0,16,100,100,49,100,0,301972,54133,0,0,96.2,0,%!f(int=104964),%!f(int=98504),%!f(int=103732),2835,115,96,0.2789,0.079738,0.3405,0.1585,-0.0121,-1,1401.41
1,1300,83,149,316,0,30,83,83,45,83,0,253410,47084,0,0,95.6,0,%!f(int=85450),%!f(int=83980),%!f(int=85546),2796,134,116,0.2743,0.083955,0.3321,0.1614,-0.0178,-1,1433.31
1,1400,99,149,371,0,78,99,99,48,99,0,302330,58455,0,0,95.1,0,%!f(int=101024),%!f(int=100653),%!f(int=102451),2762,148,136,0.2713,0.087926,0.3241,0.1547,-0.0335,-1,1522.02
1,1500,79,146,321,0,68,79,79,37,79,0,240562,47744,0,0,94.2,0,%!f(int=77326),%!f(int=81618),%!f(int=83744),2705,178,163,0.2689,0.092669,0.3147,0.1575,-0.0212,-1,1584.71
1,1600,77,113,250,0,0,77,77,43,77,0,234654,48181,0,0,93.1,0,%!f(int=71680),%!f(int=81487),%!f(int=83377),2640,209,197,0.2668,0.097049,0.3059,0.1545,0.0009,-1,1512.28
1,1700,95,108,287,0,11,95,95,53,95,0,289860,60781,0,0,92.4,0,%!f(int=87320),%!f(int=101270),%!f(int=103250),2581,233,232,0.2647,0.101985,0.296,0.1456,-0.0194,-1,1473.74
1,1800,93,146,313,0,45,93,93,42,93,0,284882,61310,0,0,91.5,0,%!f(int=85284),%!f(int=99799),%!f(int=100613),2534,258,254,0.2665,0.103362,0.2933,0.1434,-0.0266,-1,1500.75
1,1900,100,149,322,0,16,100,100,50,100,0,305925,67359,0,0,90.5,0,%!f(int=88437),%!f(int=108744),%!f(int=110019),2473,290,283,0.2671,0.106696,0.2866,0.1382,-0.013,-1,1562.33
1,2000,100,152,353,0,94,100,100,48,100,0,305817,69295,0,0,89.5,0,%!f(int=85857),%!f(int=109980),%!f(int=111363),2409,320,317,0.266,0.111332,0.2773,0.1347,-0.0164,-1,1632.4
1,2100,86,145,308,0,38,86,86,46,86,0,263224,60450,0,0,88.8,0,%!f(int=70770),%!f(int=96227),%!f(int=97195),2352,341,353,0.2602,0.116853,0.2663,0.135,-0.0146,-1,1692.81
1,2200,96,144,329,0,41,96,96,47,96,0,293761,69099,0,0,88.1,0,%!f(int=75811),%!f(int=108975),%!f(int=110126),2310,362,374,0.2574,0.120038,0.2599,0.13,0.0025,-1,1583.35
1,2300,88,127,275,0,24,88,88,41,88,0,268726,64198,0,0,87.3,0,%!f(int=68776),%!f(int=99975),%!f(int=101585),2253,386,407,0.2558,0.123925,0.2521,0.1288,-0.0176,-1,1505.05
1,2400,92,138,299,0,44,92,92,47,92,0,280459,68207,0,0,86.2,0,%!f(int=69367),%!f(int=105546),%!f(int=107711),2190,419,437,0.2536,0.12835,0.2433,0.1242,-0.0174,-1,1471.13
1,2500,94,143,330,0,34,94,94,51,94,0,286515,70210,0,0,85.2,0,%!f(int=69651),%!f(int=108432),%!f(int=110685),2140,451,455,0.2552,0.130665,0.2387,0.1209,-0.0192,-1,1518.98
1,2600,97,148,346,0,33,97,97,57,97,0,295732,72891,0,0,84.3,0,%!f(int=69870),%!f(int=112931),%!f(int=115183),2082,477,487,0.2525,0.134719,0.2306,0.117,-0.0257,-1,1538.42
1,2700,95,150,336,0,36,95,95,50,95,0,291759,72316,0,0,83.1,0,%!f(int=66283),%!f(int=112738),%!f(int=112819),2006,514,526,0.2542,0.138255,0.2235,0.1131,-0.0251,-1,1461.59
1,2800,99,162,382,0,65,99,99,47,99,0,303143,75392,0,0,82.4,0,%!f(int=66367),%!f(int=118388),%!f(int=119373),1964,535,547,0.2525,0.141493,0.217,0.11,-0.0142,-1,1409
1,2900,97,148,346,0,66,97,97,48,97,0,296851,75011,0,0,81.9,0,%!f(int=63559),%!f(int=116646),%!f(int=117779),1916,551,579,0.254,0.143679,0.2126,0.1077,-0.0117,-1,1445.91
1,3000,98,144,350,0,29,98,98,41,98,0,300119,76394,0,0,81.3,0,%!f(int=63567),%!f(int=118276),%!f(int=119213),1882,569,595,0.2523,0.145902,0.2082,0.1056,-0.0229,-1,1505.6
1,3100,69,97,172,0,0,69,69,37,69,0,211736,54246,0,0,79.4,0,%!f(int=42376),%!f(int=84680),%!f(int=84912),1775,627,644,0.2481,0.153042,0.1939,0.1059,-0.0399,-1,1556.65
1,3200,78,101,229,0,0,78,78,41,78,0,238983,61117,0,0,78,0,%!f(int=44327),%!f(int=97328),%!f(int=97961),1698,671,677,0.2478,0.157376,0.1852,0.0991,-0.0072,-1,1447.77
1,3300,100,126,305,0,9,100,100,49,100,0,306895,78492,0,0,77.3,0,%!f(int=56033),%!f(int=125431),%!f(int=125736),1653,692,701,0.2495,0.159595,0.1808,0.0924,-0.0176,-1,1290.43
1,3400,73,140,330,0,34,73,73,34,73,0,224640,57914,0,0,76.3,0,%!f(int=40808),%!f(int=91916),%!f(int=91532),1601,721,724,0.2514,0.161566,0.1768,0.0946,-0.0379,-1,1265.32
1,3500,100,137,333,0,50,100,100,54,100,0,307172,80216,0,0,75.9,0,%!f(int=52720),%!f(int=127226),%!f(int=127254),1559,734,753,0.2486,0.164659,0.1706,0.0871,-0.0143,-1,1214.97
1,3600,100,131,338,0,76,100,100,53,100,0,308473,80746,0,0,75,0,%!f(int=51353),%!f(int=128560),%!f(int=127287),1505,762,779,0.2518,0.166467,0.167,0.0841,-0.0096,-1,1191.91
1,3700,92,151,359,0,63,92,92,46,92,0,284591,74693,0,0,74.4,0,%!f(int=45833),%!f(int=119379),%!f(int=117412),1464,780,802,0.2491,0.169549,0.1608,0.083,-0.0172,-1,1190.67
