run,year,n,marrs,births,randDs,cullDs,GenetDes,GeneaDes,YDes,MtDes,nCents,nAlleles,nBlocks,TotFitness,nMuts,PercSeedGenoRet,AvSeedGenoCov,AvHet,HomMin,HomMaj,numSegSites,allelesLost,allelesFixed,avMinorFreq,freqVariance,TajimaPi,WattersonsTheta,Fis,Ne,numSegSitesSFS,singletons,doubletons,TajimasD,FuLiD,FayWuH,sfsMean,sfsVar,sfsSkew,sfsExtremes
1,0,9632,4148,0,0,0,9632,9632,0,0,0,29589504,0,0,0,100.9,0.0,%!f(int=29589504),%!f(int=00),%!f(int=00),3046,0,0,0.5000,0.000000,0.5000,0.0958,-1.0000,0.00,3046,0,0,0.0037,-0.4855,0.0000,0.5000,0.0000,0.0000,0.0000
1,100,7506,10462,20258,0,0,7506,7506,3703,7506,0,22917935,1171866,0,0,100.0,0.0,%!f(int=11327977),%!f(int=5794979),%!f(int=5935476),3046,0,0,0.4922,0.000094,0.4998,0.0981,0.0087,0.00,3046,0,0,0.0036,-0.5091,0.0000,0.5013,0.0001,0.0072,0.0000
1,200,10000,14554,35475,0,4092,10000,10000,5058,10000,0,30504354,2114820,0,0,100.0,0.0,%!f(int=14816626),%!f(int=7843864),%!f(int=8059510),3046,0,0,0.4900,0.000157,0.4997,0.0954,0.0265,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5007,0.0002,-0.2052,0.0000
1,300,10000,16168,37676,0,7311,10000,10000,4926,10000,0,30495085,2630106,0,0,100.0,0.0,%!f(int=14648811),%!f(int=7923137),%!f(int=8148052),3046,0,0,0.4884,0.000215,0.4996,0.0954,0.0373,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5006,0.0002,-0.3232,0.0000
1,400,10000,16012,37365,0,7103,10000,10000,4996,10000,0,30577382,3115387,0,0,100.0,0.0,%!f(int=14570626),%!f(int=8003378),%!f(int=8145996),3046,0,0,0.4857,0.000313,0.4994,0.0954,0.0421,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5019,0.0003,-0.4233,0.0000
1,500,10000,16134,37590,0,7559,10000,10000,4984,10000,0,30637601,3570288,0,0,100.0,0.0,%!f(int=14503975),%!f(int=8066813),%!f(int=8149212),3046,0,0,0.4834,0.000419,0.4991,0.0954,0.0460,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5029,0.0004,-0.3255,0.0000
1,600,10000,16195,37686,0,7342,10000,10000,5074,10000,0,30592463,3999600,0,0,100.0,0.0,%!f(int=14440073),%!f(int=8076195),%!f(int=8203732),3046,0,0,0.4816,0.000530,0.4989,0.0954,0.0498,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5022,0.0005,-0.2316,0.0000
1,700,10000,16266,37925,0,7581,10000,10000,4942,10000,0,30553540,4409160,0,0,100.0,0.0,%!f(int=14407476),%!f(int=8073032),%!f(int=8239492),3046,0,0,0.4804,0.000608,0.4988,0.0954,0.0517,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5015,0.0006,-0.2725,0.0000
1,800,10000,16151,37695,0,7632,10000,10000,5026,10000,0,30542554,4796061,0,0,100.0,0.0,%!f(int=14405518),%!f(int=8068518),%!f(int=8245964),3046,0,0,0.4793,0.000694,0.4986,0.0954,0.0515,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5014,0.0007,-0.3664,0.0000
1,900,10000,16340,38203,0,7681,10000,10000,4897,10000,0,30559971,5159587,0,0,100.0,0.0,%!f(int=14363733),%!f(int=8098119),%!f(int=8258148),3046,0,0,0.4778,0.000793,0.4984,0.0954,0.0539,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5017,0.0008,-0.2468,0.0000
1,1000,10000,16358,38164,0,7652,10000,10000,4980,10000,0,30575856,5510677,0,0,100.0,0.0,%!f(int=14382320),%!f(int=8096768),%!f(int=8240912),3046,0,0,0.4765,0.000884,0.4982,0.0954,0.0523,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5019,0.0009,-0.1996,0.0000
1,1100,10000,16329,37982,0,7702,10000,10000,4996,10000,0,30522431,5841526,0,0,100.0,0.0,%!f(int=14418013),%!f(int=8052209),%!f(int=8249778),3046,0,0,0.4745,0.001030,0.4979,0.0954,0.0494,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5011,0.0010,-0.2042,0.0000
1,1200,10000,16454,38570,0,8301,10000,10000,5155,10000,0,30543356,6155340,0,0,100.0,0.0,%!f(int=14422542),%!f(int=8060407),%!f(int=8237051),3046,0,0,0.4729,0.001150,0.4977,0.0954,0.0486,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5013,0.0012,-0.1993,0.0000
1,1300,10000,16594,38695,0,8021,10000,10000,4967,10000,0,30570939,6463247,0,0,100.0,0.0,%!f(int=14425051),%!f(int=8072944),%!f(int=8222005),3046,0,0,0.4719,0.001229,0.4975,0.0954,0.0482,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5019,0.0012,-0.2129,0.0000
1,1400,10000,16515,38487,0,8103,10000,10000,4958,10000,0,30529348,6747215,0,0,100.0,0.0,%!f(int=14402814),%!f(int=8063267),%!f(int=8253919),3046,0,0,0.4708,0.001316,0.4974,0.0954,0.0493,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5011,0.0013,-0.1895,0.0000
1,1500,10000,16577,38575,0,8013,10000,10000,4967,10000,0,30503894,7026743,0,0,100.0,0.0,%!f(int=14417046),%!f(int=8043424),%!f(int=8259530),3046,0,0,0.4698,0.001400,0.4972,0.0954,0.0480,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5007,0.0014,-0.1076,0.0000
1,1600,10000,16646,39088,0,8450,10000,10000,5035,10000,0,30483227,7298546,0,0,100.0,0.0,%!f(int=14404325),%!f(int=8039451),%!f(int=8276224),3046,0,0,0.4683,0.001547,0.4969,0.0954,0.0483,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5004,0.0016,-0.1403,0.0000
1,1700,10000,16710,39171,0,8692,10000,10000,4965,10000,0,30460010,7554748,0,0,100.0,0.0,%!f(int=14431268),%!f(int=8014371),%!f(int=8274361),3046,0,0,0.4667,0.001701,0.4966,0.0954,0.0460,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.5001,0.0017,-0.1230,0.0000
1,1800,10000,16474,38486,0,7974,10000,10000,4945,10000,0,30453043,7807674,0,0,100.0,0.0,%!f(int=14468453),%!f(int=7992295),%!f(int=8259252),3046,0,0,0.4650,0.001890,0.4962,0.0954,0.0428,0.00,3046,0,0,0.0037,-0.4821,0.0000,0.4998,0.0019,-0.1076,0.0000
