run,year,n,marrs,births,randDs,cullDs,GenetDes,GeneaDes,YDes,MtDes,nCents,nAlleles,nBlocks,TotFitness,nMuts,PercSeedGenoRet,AvSeedGenoCov,AvHet,HomMin,HomMaj,numSegSites,allelesLost,allelesFixed,avMinorFreq,freqVariance,TajimaPi,WattersonsTheta,Fis,Ne,numSegSitesSFS,singletons,doubletons,TajimasD,FuLiD,FayWuH,sfsMean,sfsVar,sfsSkew,sfsExtremes,LD_short,LD_medium,LD_long,HighLDPairs,LDDecaySlope,meanCoalTime,maxCoalTime,coalPairs,foundMRCA,tmrcaMean,tmrcaMax,tmrcaVariance,estimatedNe,tmrcaSampleSize,yadamID,yadamGensBack,yadamBirthYear
1,0,477,146,0,23,0,477,477,0,0,0,1465344,0,477000000,-477,100.9,0.0,%!f(int=1465344),%!f(int=00),%!f(int=00),3046,0,0,0.5000,0.000000,0.5000,0.1345,-1.0000,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,100,190,285,608,895,0,190,190,97,190,0,566325,28694,190000000,380,100.0,0.0,%!f(int=268123),%!f(int=149101),%!f(int=166456),3046,0,0,0.4546,0.003128,0.4935,0.1535,0.0612,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,200,128,166,379,441,0,128,128,65,128,0,385668,25240,128000000,256,100.0,0.0,%!f(int=150912),%!f(int=117378),%!f(int=124926),3046,0,0,0.3911,0.017319,0.4653,0.1634,0.1681,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,300,140,160,377,365,0,140,140,72,140,0,423354,33643,140000000,280,100.0,0.0,%!f(int=155318),%!f(int=134018),%!f(int=140744),3046,0,0,0.3114,0.051011,0.3980,0.1610,0.0848,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,400,283,270,748,605,0,283,283,137,283,0,849848,78953,283000000,566,99.6,0.0,%!f(int=321460),%!f(int=264194),%!f(int=283722),3022,13,11,0.2887,0.065248,0.3694,0.1435,-0.0095,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,500,490,513,1329,1122,0,490,490,247,490,0,1467588,153793,490000000,980,98.7,0.0,%!f(int=554118),%!f(int=456735),%!f(int=494427),2956,41,49,0.2942,0.065928,0.3680,0.1300,-0.0088,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,600,500,817,1919,1424,485,500,500,259,500,0,1494251,172436,500000000,1000,98.5,0.0,%!f(int=561169),%!f(int=466541),%!f(int=508290),2949,45,52,0.2937,0.066625,0.3666,0.1294,-0.0052,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,700,500,825,1918,1515,403,500,500,263,500,0,1493546,188621,500000000,1000,98.5,0.0,%!f(int=561700),%!f(int=465923),%!f(int=508377),2945,47,54,0.2946,0.066516,0.3668,0.1292,-0.0055,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,800,500,805,1818,1444,374,500,500,259,500,0,1492554,204111,500000000,1000,98.4,0.0,%!f(int=559756),%!f(int=466399),%!f(int=509845),2941,48,57,0.2956,0.066745,0.3663,0.1290,-0.0033,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,900,499,825,1917,1556,362,499,499,237,499,0,1487200,218053,499000000,998,98.1,0.0,%!f(int=555436),%!f(int=465882),%!f(int=511610),2927,58,61,0.2957,0.067748,0.3643,0.1284,-0.0032,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
1,1000,500,816,1899,1526,372,500,500,224,500,0,1486637,231987,500000000,1000,97.9,0.0,%!f(int=554319),%!f(int=466159),%!f(int=515522),2917,65,64,0.2957,0.068682,0.3624,0.1280,-0.0045,0.00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.000000,0.00,0.00,0,0,0.00,0.00,0.0000,0.0,0,0,0,0
