Frequency,Year0,Year100,Year200,Year300,Year400,Year500,Year600,Year700,Year800,Year900,Year1000,Year1100,Year1200,Year1300,Year1400,Year1500,Year1600,Year1700,Year1800,Year1900,Year2000,Year2100,Year2200,Year2300,Year2400,Year2500,Year2600,Year2700,Year2800,Year2900,Year3000,Year3100,Year3200,Year3300,Year3400,Year3500,Year3600,Year3700,Year3800,Year3900,Year4000,Year4100,Year4200,Year4300,Year4400,Year4500,Year4600,Year4700,Year4800,Year4900,Year5000,Year5100,Year5200,Year5300,Year5400,Year5500,Year5600,Year5700,Year5800,Year5900,Year6000,Year6100,Year6200,Year6300,Year6400,Year6500,Year6600,Year6700,Year6800,Year6900,Year7000,Year7100,Year7200,Year7300,Year7400,Year7500,Year7600,Year7700,Year7800,Year7900,Year8000,Year8100,Year8200,Year8300,Year8400,Year8500,Year8600,Year8700,Year8800,Year8900,Year9000,Year9100,Year9200,Year9300,Year9400,Year9500,Year9600,Year9700,Year9800,Year9900,Year10000
0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,5,6,6,7,6,6,8,10,9,10,12,12,12,14,15,16,18,21,20,20,24,25,27,27,28,31,30,33,32,38,40,40,40,43,43,43,43,43,44,46,48,49,51,51,52,56,55,55,57,60,62,67,67,68,72,73,75,75
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,2,1,2,3,4,2,2,4,5,4,3,4,3,5,4,3,3,4,4,6,6,8,7,5,9,5,4,8,9,9,8,9,9,8,8,13,11,12,7,6,6,5,5,6,9,9,12,10,11,6,3,7,10,13,11,12,16,19,19,18,14,20,18,19,14,15,21
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,0,1,2,2,2,3,1,4,4,2,2,3,2,1,1,4,5,4,3,1,4,3,1,4,6,3,5,10,7,9,8,10,7,10,7,7,10,9,10,9,9,6,9,8,9,6,6,7,6,9,7,11,10,12,18,22,29,19,23,21,18,22,23,19,19,17,13,11,19,16,19,21,14
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,2,4,2,3,3,3,5,4,4,2,4,3,2,3,2,2,4,9,6,8,9,7,5,9,8,5,10,12,8,11,9,10,5,13,6,10,8,9,6,8,12,13,11,9,12,11,11,15,14,16,13,16,13,11,22,20,22,23,24,14,16,15,20,16,15,14,14,21,17,18,15,25,12,16
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,2,4,5,3,4,1,4,5,4,3,1,3,4,4,7,10,8,6,5,3,7,6,10,6,12,8,10,12,14,16,11,11,10,9,7,4,11,12,8,7,15,13,11,13,12,12,8,15,19,12,14,18,17,18,17,18,17,16,18,12,18,21,11,23,21,16,17,15,18,16,21,13,13,11,17,11
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,2,5,5,5,5,3,5,3,8,7,7,2,6,1,2,5,9,12,3,9,7,6,5,6,8,6,11,6,10,12,16,12,11,5,7,13,7,13,12,9,6,11,9,13,11,14,19,20,12,17,10,14,17,21,19,22,23,20,23,14,17,17,22,23,19,22,15,16,16,13,12,15,17,12,15,23,17,15,18
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,1,2,2,0,0,5,6,7,5,2,6,4,10,6,5,2,4,5,8,11,6,9,5,11,8,9,10,4,6,9,5,8,14,14,16,10,13,9,18,17,10,12,20,18,20,14,17,20,10,16,19,12,15,20,14,13,10,18,21,22,20,18,25,16,23,21,20,15,19,15,25,23,18,26,20,20,19,20,20,15,14,14,24,27
0.07,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,6,4,2,6,4,9,4,3,1,4,5,6,7,4,8,7,6,8,5,9,11,7,1,4,4,6,11,5,7,12,9,15,10,12,12,11,17,13,7,6,11,15,17,14,23,22,21,14,12,19,18,16,11,13,21,23,19,30,25,22,17,21,12,17,26,14,23,22,23,19,25,20,17,16,16,23,25,26,15,17,17,17,23,20,28
0.08,0,0,0,0,0,0,0,0,0,2,0,1,2,3,2,3,3,3,5,2,7,4,5,3,5,5,8,6,3,10,5,4,6,12,11,10,8,8,8,9,8,11,9,15,13,15,15,18,18,15,14,13,12,7,8,12,16,16,14,12,12,13,25,23,18,17,17,16,24,20,13,20,28,23,20,20,18,14,24,20,23,28,18,18,22,17,16,18,21,18,19,19,20,18,17,17,22,18,22,25,19
0.09,0,0,0,0,0,0,0,0,2,2,3,0,0,1,3,2,2,5,4,3,9,2,5,5,2,7,9,9,10,5,9,11,10,6,10,11,7,10,10,9,15,10,13,14,19,15,14,12,12,11,20,13,12,12,24,15,11,15,16,21,19,20,19,15,21,19,21,18,17,20,21,26,21,20,27,19,22,27,19,15,12,22,19,14,15,17,30,19,29,22,22,25,19,20,22,26,23,19,26,23,22
