Chromosome,Arm,Start,Length
1,0,0,9534
1,1,9534,9533
2,0,19067,7042
2,1,26109,11489
3,0,37598,6975
3,1,44573,8187
4,0,52760,3783
4,1,56543,10766
5,0,67309,3763
5,1,71072,10174
6,0,81246,4714
6,1,85960,8380
7,0,94340,4627
7,1,98967,7548
8,0,106515,3442
8,1,109957,7661
9,0,117618,3698
9,1,121316,6869
10,0,128185,3078
10,1,131263,7183
11,0,138446,4135
11,1,142581,6203
12,0,148784,2750
12,1,151534,7434
13,0,158968,1310
13,1,160278,7420
14,0,167698,1311
14,1,169009,6883
15,0,175892,1328
15,1,177220,6483
16,0,183703,2757
16,1,186460,4135
17,0,190595,1843
17,1,192438,4513
18,0,196951,1348
18,1,198299,4778
19,0,203077,1988
19,1,205065,2530
20,0,207595,2156
20,1,209751,2745
21,0,212496,972
21,1,213468,2627
22,0,216095,1093
22,1,217188,2812
